orbit_id,start_n,odd_step_index,is_terminal,n,A,B,C,D,a11,a13,a31,a33,n_mod_3,n_mod_4,n_mod_8,n_mod_16,n_mod_32,n_mod_64,actual_mode,actual_next,actual_direction,missing_down_count,missing_up_count,best_hidden_value,best_hidden_mode,reset_value,sheet_alternative,actual_sheet,alternate_sheet,reset_ratio_num,reset_ratio_den,delta_reset_log2,hidden_ratio_num,hidden_ratio_den,delta_hidden_log2,cum_reset_deficit_before,cum_reset_deficit_after,cum_hidden_deficit_before,cum_hidden_deficit_after,height_g,epsilon,eta,cum_height_g
NAMED_27,27,41,1,1,1,1,1,3,1,2,2,1,1,1,1,1,1,1,"(3,1)",1,BOUNDARY,0,1,1,A,1,3,NON3,MULT3,1,1,0.0,1,1,0.0,84.48005649448154,84.48005649448154,117.77719646881218,117.77719646881218,0.0,0.0,0.0,-4.754887502163468
NAMED_97,97,0,0,97,49,25,73,147,1,2,2,1,1,1,1,1,1,33,"(3,1)",73,FOLD,2,1,25,B,49,147,NON3,MULT3,73,49,0.5751147147648092,73,25,1.5459683691052932,0.0,0.5751147147648092,0.0,1.5459683691052932,-0.41008828330711045,0.4150374992788439,0.004949215971733351,-0.41008828330711045
NAMED_97,97,1,0,73,37,19,55,111,1,2,2,1,1,1,1,9,9,9,"(3,1)",55,FOLD,2,1,19,B,37,111,NON3,MULT3,55,37,0.5719063478957098,55,19,1.5334322000810747,0.5751147147648092,1.147021062660519,1.5459683691052932,3.079400569186368,-0.40846484535535765,0.4150374992788439,0.006572653923486113,-0.8185531286624681
NAMED_97,97,2,0,55,7,29,83,21,3,1,1,3,1,3,7,7,23,55,"(3,1)",83,UP,3,0,7,A,7,21,NON3,MULT3,83,7,3.5676845092893203,83,7,3.5676845092893203,1.147021062660519,4.714705571949839,3.079400569186368,6.647085078475689,0.593679717822265,-0.5849625007211561,0.008717217101109027,-0.22487341084020307
NAMED_97,97,3,0,83,21,43,125,63,2,1,1,2,2,3,3,3,19,19,"(3,1)",125,UP,3,0,21,A,21,63,NON3,MULT3,125,21,2.5734668618833263,125,21,2.5734668618833263,4.714705571949839,7.288172433833165,6.647085078475689,9.220551940359016,0.5907448533151625,-0.5849625007211561,0.005782352594006178,0.3658714424749594
NAMED_97,97,4,0,125,63,1,47,189,1,7,3,1,2,1,5,13,29,61,"(3,1)",47,FOLD,2,1,1,B,63,189,NON3,MULT3,47,63,-0.42269107182227916,47,1,5.554588851677638,7.288172433833165,6.865481362010886,9.220551940359016,14.775140792036654,-1.4111954329844496,1.415037499278844,0.003842066294394044,-1.0453239905094902
NAMED_97,97,5,0,47,3,25,71,9,4,1,1,4,2,3,7,15,15,47,"(3,1)",71,UP,3,0,3,A,3,9,NON3,MULT3,71,3,4.564784618783526,71,3,4.564784618783526,6.865481362010886,11.430265980794413,14.775140792036654,19.33992541082018,0.5951582678270448,-0.5849625007211561,0.010195767105888364,-0.45016572268244537
NAMED_97,97,6,0,71,9,37,107,27,3,1,1,3,2,3,7,7,7,7,"(3,1)",107,UP,3,0,9,A,9,27,NON3,MULT3,107,9,3.5715419849588352,107,9,3.5715419849588352,11.430265980794413,15.001807965753247,19.33992541082018,22.911467395779013,0.5917198668964649,-0.5849625007211561,0.006757366175308802,0.14155414421401957
NAMED_97,97,7,0,107,27,55,161,81,2,1,1,2,2,3,3,11,11,43,"(3,1)",161,UP,3,0,27,A,27,81,NON3,MULT3,161,27,2.5760293759511486,161,27,2.5760293759511486,15.001807965753247,17.577837341704395,22.911467395779013,25.48749677173016,0.5894498917134701,-0.5849625007211561,0.004487390992313691,0.7310040359274896
NAMED_97,97,8,0,161,81,41,121,243,1,2,2,1,2,1,1,1,1,33,"(3,1)",121,FOLD,2,1,41,B,81,243,NON3,MULT3,121,81,0.5790132343899703,121,41,1.5613112326565108,17.577837341704395,18.156850576094364,25.48749677173016,27.04880800438667,-0.4120536408400226,0.4150374992788439,0.00298385843882141,0.31895039508746703
NAMED_97,97,9,0,121,61,31,91,183,1,2,2,1,1,1,1,9,25,57,"(3,1)",91,FOLD,2,1,31,B,61,183,NON3,MULT3,91,61,0.5770573026358097,91,31,1.5535983298118214,18.156850576094364,18.73390787873017,27.04880800438667,28.60240633419849,-0.41106859707589805,0.4150374992788439,0.0039689022029454546,-0.09211820198843101
NAMED_97,97,10,0,91,23,47,137,69,2,1,1,2,1,3,3,11,27,27,"(3,1)",137,UP,3,0,23,A,23,69,NON3,MULT3,137,23,2.5744701269035133,137,23,2.5744701269035133,18.73390787873017,21.308378005633685,28.60240633419849,31.176876461102005,0.5902374427618304,-0.5849625007211561,0.005274942040674248,0.4981192407733994
NAMED_97,97,11,0,137,69,35,103,207,1,2,2,1,2,1,1,9,9,9,"(3,1)",103,FOLD,2,1,35,B,69,207,NON3,MULT3,103,69,0.5779760704050494,103,35,1.5572175102382522,21.308378005633685,21.886354076038735,31.176876461102005,32.73409397134026,-0.4115315557773085,0.4150374992788439,0.0035059435015356395,0.08658768499609093
NAMED_97,97,12,0,103,13,53,155,39,3,1,1,3,1,3,7,7,7,39,"(3,1)",155,UP,3,0,13,A,13,39,NON3,MULT3,155,13,3.5756846871331454,155,13,3.5756846871331454,21.886354076038735,25.46203876317188,32.73409397134026,36.309778658473405,0.5896238780910192,-0.5849625007211561,0.004661377369863099,0.6762115630871102
NAMED_97,97,13,0,155,39,79,233,117,2,1,1,2,2,3,3,11,27,27,"(3,1)",233,UP,3,0,39,A,39,117,NON3,MULT3,233,39,2.578783925792032,233,39,2.578783925792032,25.46203876317188,28.04082268896391,36.309778658473405,38.888562584265436,0.5880617393800427,-0.5849625007211561,0.00309923865888656,1.2642733024671529
NAMED_97,97,14,0,233,117,59,175,351,1,2,2,1,2,1,1,9,9,41,"(3,1)",175,FOLD,2,1,59,B,117,351,NON3,MULT3,175,117,0.5808463922489242,175,59,1.5685680624704874,28.04082268896391,28.621669081212836,38.888562584265436,40.457130646735926,-0.41297503282195147,0.4150374992788439,0.0020624664568923198,0.8512982696452014
NAMED_97,97,15,0,175,11,89,263,33,4,1,1,4,1,3,7,15,15,47,"(3,1)",263,UP,3,0,11,A,11,33,NON3,MULT3,263,11,4.579487370655005,263,11,4.579487370655005,28.621669081212836,33.20115645186784,40.457130646735926,45.03661801739093,0.5877078774599735,-0.5849625007211561,0.0027453767388172924,1.439006147105175
NAMED_97,97,16,0,263,33,133,395,99,3,1,1,3,2,3,7,7,7,7,"(3,1)",395,UP,3,0,33,A,33,99,NON3,MULT3,395,33,3.5813147237060123,395,33,3.5813147237060123,33.20115645186784,36.78247117557385,45.03661801739093,48.61793274109694,0.586789853772163,-0.5849625007211561,0.001827353051006809,2.025796000877338
NAMED_97,97,17,0,395,99,199,593,297,2,1,1,2,2,3,3,11,11,11,"(3,1)",593,UP,3,0,99,A,99,297,NON3,MULT3,593,99,2.582531674466394,593,99,2.582531674466394,36.78247117557385,39.36500285004025,48.61793274109694,51.20046441556334,0.5861794514815384,-0.5849625007211561,0.0012169507603823108,2.6119754523588763
NAMED_97,97,18,0,593,297,149,445,891,1,2,2,1,2,1,1,1,17,17,"(3,1)",445,FOLD,2,1,149,B,297,891,NON3,MULT3,445,297,0.5833424050529938,445,149,1.578493005391599,39.36500285004025,39.948345255093244,51.20046441556334,52.77895742095494,-0.4142267686922434,0.4150374992788439,0.000810730586600256,2.197748683666633
NAMED_97,97,19,0,445,223,7,167,669,1,6,3,1,1,1,5,13,29,61,"(3,1)",167,FOLD,2,1,7,B,223,669,NON3,MULT3,167,223,-0.41719560744625284,167,7,4.576349370416448,39.948345255093244,39.53114964764699,52.77895742095494,57.35530679137139,-1.413957233379708,1.415037499278844,0.0010802658991358788,0.783791450286925
NAMED_97,97,20,0,167,21,85,251,63,3,1,1,3,2,3,7,7,7,39,"(3,1)",251,UP,3,0,21,A,21,63,NON3,MULT3,251,21,3.5792261311720113,251,21,3.5792261311720113,39.53114964764699,43.110375778819005,57.35530679137139,60.934532922543404,0.5878392614767198,-0.5849625007211561,0.002876760755563661,1.3716307117636448
NAMED_97,97,21,0,251,63,127,377,189,2,1,1,2,2,3,3,11,27,59,"(3,1)",377,UP,3,0,63,A,63,189,NON3,MULT3,377,63,2.581140789768747,377,63,2.581140789768747,43.110375778819005,45.69151656858775,60.934532922543404,63.51567371231215,0.5868771593178923,-0.5849625007211561,0.001914658596736107,1.9585078710815371
NAMED_97,97,22,0,377,189,95,283,567,1,2,2,1,2,1,1,9,25,57,"(3,1)",283,FOLD,2,1,95,B,189,567,NON3,MULT3,283,189,0.5824158186108095,283,95,1.5748026345009345,45.69151656858775,46.27393238719856,63.51567371231215,65.09047634681309,-0.41376247043678194,0.4150374992788439,0.0012750288420617212,1.5447454006447552
NAMED_97,97,23,0,283,71,143,425,213,2,1,1,2,1,3,3,11,27,27,"(3,1)",425,UP,3,0,71,A,71,213,NON3,MULT3,425,71,2.581571911520382,425,71,2.581571911520382,46.27393238719856,48.85550429871895,65.09047634681309,67.67204825833348,0.5866607881931818,-0.5849625007211561,0.0016982874720256138,2.131406188837937
NAMED_97,97,24,0,425,213,107,319,639,1,2,2,1,2,1,1,9,9,41,"(3,1)",319,FOLD,2,1,107,B,213,639,NON3,MULT3,319,213,0.5827029935390309,319,107,1.5759456273637218,48.85550429871895,49.43820729225798,67.67204825833348,69.2479938856972,-0.4139064172601947,0.4150374992788439,0.0011310820186490233,1.7174997715777423
NAMED_97,97,25,0,319,5,161,479,15,6,1,1,6,1,3,7,15,31,63,"(3,1)",479,UP,3,0,5,A,5,15,NON3,MULT3,479,5,6.581953750848818,479,5,6.581953750848818,49.43820729225798,56.020161043106796,69.2479938856972,75.82994763654602,0.5864692319713107,-0.5849625007211561,0.00150673125015464,2.303969003549053
NAMED_97,97,26,0,479,15,241,719,45,5,1,1,5,2,3,7,15,31,31,"(3,1)",719,UP,3,0,15,A,15,45,NON3,MULT3,719,15,5.582957364830778,719,15,5.582957364830778,56.020161043106796,61.60311840793757,75.82994763654602,81.4129050013768,0.5859661147031177,-0.5849625007211561,0.0010036139819614802,2.8899351182521706
