orbit_id,tier,start_n,status,odd_steps_to_1,terminal_or_cap_state,max_odd_value,max_up_burst,max_critical_alphabet_run,max_critical_grammar_run,first_critical_break_type,count_U1,count_F2,count_F3,count_F4P,fraction_mod8_1,fraction_mod8_3,fraction_mod8_5,fraction_mod8_7,max_cum_reset_deficit,min_cum_reset_deficit,final_cum_reset_deficit,max_cum_best_hidden_deficit,final_cum_best_hidden_deficit,height_cocycle_sum,height_cocycle_endpoint_log2,height_cocycle_error,critical_windows_L8,critical_windows_L16,critical_windows_L32,critical_windows_L64,alphabet_windows_L8,alphabet_windows_L16,alphabet_windows_L32,alphabet_windows_L64
C_43731,TIER_C_RANDOM_1E12,845358143749,REACHED_1,89,1,845358143749,5,11,3,DEEP_FOLD,42,25,9,13,0.2808988764044944,0.2247191011235955,0.24719101123595505,0.24719101123595505,131.53076630597704,-2.245112497851821,129.46037697808563,222.4921190575958,222.4921190575958,-39.62077172568178,-39.62077172568178,0.0,0,0,0,0,4,0,0,0
C_43732,TIER_C_RANDOM_1E12,70823147709,REACHED_1,123,1,388100525633,5,13,8,DEEP_FOLD,63,38,11,11,0.3089430894308943,0.23577235772357724,0.17886178861788618,0.2764227642276423,230.19510889072956,-0.4150374992924242,215.93823261557307,323.1946404389732,314.90298890292564,-36.04350191408293,-36.04350191408293,0.0,1,0,0,0,17,0,0,0
C_43733,TIER_C_RANDOM_1E12,994376922479,REACHED_1,140,1,3775524877541,7,14,7,CRITICAL_FORBIDDEN_GRAMMAR,74,40,11,15,0.2857142857142857,0.2571428571428571,0.18571428571428572,0.2714285714285714,249.43106399562245,0.0,245.41314208762518,368.15740623274235,367.67197940557213,-39.85500185844237,-39.85500185844237,0.0,0,0,0,0,16,0,0,0
C_43734,TIER_C_RANDOM_1E12,113748616469,REACHED_1,43,1,113748616469,5,6,4,DEEP_FOLD,20,8,6,9,0.18604651162790697,0.2558139534883721,0.3488372093023256,0.20930232558139536,53.05861847721229,-3.830074998746529,42.93113345029813,97.05858908304634,95.45011600793767,-36.727058041595825,-36.727058041595825,0.0,0,0,0,0,0,0,0,0
C_43735,TIER_C_RANDOM_1E12,826361690415,REACHED_1,103,1,2788970705153,5,12,5,CRITICAL_FORBIDDEN_GRAMMAR,50,27,11,15,0.2621359223300971,0.22330097087378642,0.2524271844660194,0.2621359223300971,161.96518517166615,0.0,157.94726326366887,259.88278272685136,259.39735589968114,-39.58798241712006,-39.58798241712006,0.0,0,0,0,0,5,0,0,0
C_43736,TIER_C_RANDOM_1E12,316127370425,REACHED_1,88,1,355643291729,5,10,6,DEEP_FOLD,41,22,14,11,0.25,0.20454545454545456,0.2840909090909091,0.26136363636363635,132.93776406056608,0.0,130.86737473267468,231.89912700581885,231.89912700581885,-38.20171499348286,-38.20171499348286,0.0,0,0,0,0,3,0,0,0
C_43737,TIER_C_RANDOM_1E12,413173625891,REACHED_1,79,1,619760438837,5,10,5,DEEP_FOLD,41,17,9,12,0.21518987341772153,0.22784810126582278,0.26582278481012656,0.2911392405063291,124.84808006881364,-6.8105308051521405,120.83015816081638,197.70807847983127,197.22265165266103,-38.587957209361214,-38.587957209361214,0.0,0,0,0,0,9,0,0,0
C_43738,TIER_C_RANDOM_1E12,423045914915,REACHED_1,89,1,634568872373,6,11,4,DEEP_FOLD,44,24,7,14,0.2696629213483146,0.24719101123595505,0.23595505617977527,0.24719101123595505,137.53326805338327,0.0,135.46287872549186,214.50078200444725,214.50078200444725,-38.62202329723701,-38.62202329723701,0.0,0,0,0,0,8,0,0,0
C_43739,TIER_C_RANDOM_1E12,62098305323,REACHED_1,164,1,93147457985,7,20,8,DEEP_FOLD,96,36,12,20,0.21951219512195122,0.22560975609756098,0.1951219512195122,0.3597560975609756,360.54536182241884,0.0,356.5274399144216,493.37358976476264,492.8881629375924,-35.85383484637792,-35.85383484637792,0.0,1,0,0,0,25,5,0,0
C_43740,TIER_C_RANDOM_1E12,370345492035,REACHED_1,52,1,555518238053,4,7,5,DEEP_FOLD,21,14,4,13,0.2692307692307692,0.25,0.3269230769230769,0.15384615384615385,50.15009476432183,-2.3202999995849964,46.132172856324566,101.07520391306922,100.58977708589897,-38.43008082011949,-38.43008082011949,0.0,0,0,0,0,0,0,0,0
