metric,rank,start_n,value,status,odd_steps_to_1,max_odd_value,max_up_burst,max_critical_alphabet_run,max_critical_grammar_run,first_break_type
max_up_burst,47,174761,16.0,REACHED_1,81,523608245,16,30,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,48,138081,16.0,REACHED_1,85,523608245,16,34,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,49,131071,16.0,REACHED_1,80,523608245,16,29,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,50,116507,16.0,REACHED_1,82,523608245,16,31,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,51,103561,16.0,REACHED_1,84,523608245,16,33,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,52,77671,16.0,REACHED_1,83,523608245,16,32,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,53,983039,15.0,REACHED_1,104,1838733965,15,22,6,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,54,981921,15.0,REACHED_1,87,523608245,15,28,5,DEEP_FOLD
max_up_burst,55,961193,15.0,REACHED_1,128,315675953,15,17,6,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,56,932061,15.0,REACHED_1,82,523608245,15,28,5,DEEP_FOLD
max_up_burst,57,854393,15.0,REACHED_1,130,315675953,15,19,6,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,58,851967,15.0,REACHED_1,43,373071581,15,15,3,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,59,828497,15.0,REACHED_1,84,523608245,15,28,5,DEEP_FOLD
max_up_burst,60,750831,15.0,REACHED_1,91,832236605,15,19,6,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,61,736441,15.0,REACHED_1,86,523608245,15,28,5,DEEP_FOLD
max_up_burst,62,720895,15.0,REACHED_1,127,315675953,15,16,6,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,63,640795,15.0,REACHED_1,129,315675953,15,18,6,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,64,621373,15.0,REACHED_1,83,523608245,15,28,5,DEEP_FOLD
max_up_burst,65,589823,15.0,REACHED_1,78,523608245,15,15,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,66,569595,15.0,REACHED_1,131,315675953,15,20,6,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,67,552331,15.0,REACHED_1,85,523608245,15,28,5,DEEP_FOLD
max_up_burst,68,524285,15.0,REACHED_1,80,523608245,15,28,5,DEEP_FOLD
max_up_burst,69,458751,15.0,REACHED_1,46,225995285,15,17,4,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,70,436905,15.0,REACHED_1,70,143489069,15,16,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,71,349523,15.0,REACHED_1,81,523608245,15,28,5,DEEP_FOLD
max_up_burst,72,327679,15.0,REACHED_1,69,143489069,15,15,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,73,233015,15.0,REACHED_1,82,523608245,15,28,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,74,196607,15.0,REACHED_1,79,523608245,15,28,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,75,155343,15.0,REACHED_1,83,523608245,15,28,5,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,76,65535,15.0,REACHED_1,44,28697813,15,15,3,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,77,981919,14.0,REACHED_1,51,28697813,14,14,3,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,78,981917,14.0,REACHED_1,51,28697813,14,14,3,DEEP_FOLD
max_up_burst,79,981895,14.0,REACHED_1,51,9565937,14,15,3,CRITICAL_FORBIDDEN_GRAMMAR
max_up_burst,80,981893,14.0,REACHED_1,51,9565937,14,15,3,DEEP_FOLD
max_up_burst,81,981891,14.0,REACHED_1,51,9565937,14,15,3,DEEP_FOLD
max_up_burst,82,968673,14.0,REACHED_1,63,9565937,14,15,5,CRITICAL_FORBIDDEN_GRAMMAR
